"GEO_ID","NAME","P1_001N","P1_001NA",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total",
"1400000US26125140303","Census Tract 1403.03; Oakland County; Michigan","3820","null",
"1400000US26125140500","Census Tract 1405; Oakland County; Michigan","2497","null",
"1400000US26125140600","Census Tract 1406; Oakland County; Michigan","2420","null",
"1400000US26125140700","Census Tract 1407; Oakland County; Michigan","2765","null",
"1400000US26125140800","Census Tract 1408; Oakland County; Michigan","4655","null",
"1400000US26125140900","Census Tract 1409; Oakland County; Michigan","4247","null",
"1400000US26125141001","Census Tract 1410.01; Oakland County; Michigan","2974","null",
"1400000US26125141002","Census Tract 1410.02; Oakland County; Michigan","2668","null",
"1400000US26125141100","Census Tract 1411; Oakland County; Michigan","3143","null",
"1400000US26125141200","Census Tract 1412; Oakland County; Michigan","3444","null",
"1400000US26125141300","Census Tract 1413; Oakland County; Michigan","4113","null",
"1400000US26125141400","Census Tract 1414; Oakland County; Michigan","4724","null",
"1400000US26125141500","Census Tract 1415; Oakland County; Michigan","6243","null",
"1400000US26125141600","Census Tract 1416; Oakland County; Michigan","4473","null",
"1400000US26125141700","Census Tract 1417; Oakland County; Michigan","3198","null",
"1400000US26125142000","Census Tract 1420; Oakland County; Michigan","2499","null",
"1400000US26125142100","Census Tract 1421; Oakland County; Michigan","1641","null",
"1400000US26125142200","Census Tract 1422; Oakland County; Michigan","2991","null",
"1400000US26125142300","Census Tract 1423; Oakland County; Michigan","2298","null",
"1400000US26125142400","Census Tract 1424; Oakland County; Michigan","3472","null",
"1400000US26125142500","Census Tract 1425; Oakland County; Michigan","1899","null",
"1400000US26125142600","Census Tract 1426; Oakland County; Michigan","3542","null",
"1400000US26125142700","Census Tract 1427; Oakland County; Michigan","4037","null",
"1400000US26125143500","Census Tract 1435; Oakland County; Michigan","5724","null",
"1400000US26125144100","Census Tract 1441; Oakland County; Michigan","4117","null",
"1400000US26125144200","Census Tract 1442; Oakland County; Michigan","4341","null",
"1400000US26125144301","Census Tract 1443.01; Oakland County; Michigan","3644","null",
"1400000US26125144400","Census Tract 1444; Oakland County; Michigan","4953","null",
"1400000US26125144500","Census Tract 1445; Oakland County; Michigan","2978","null",
"1400000US26125144600","Census Tract 1446; Oakland County; Michigan","3891","null",
"1400000US26125144701","Census Tract 1447.01; Oakland County; Michigan","3158","null",
"1400000US26125144800","Census Tract 1448; Oakland County; Michigan","2577","null",
"1400000US26125144900","Census Tract 1449; Oakland County; Michigan","4068","null",
